DateTime,AddedIPs,RemovedIPs
1498459922,1,2
1498460406,55,0
1498460522,0,5
1498460535,0,1
1498461122,3,8
1498461722,1,0
1498462322,41,10
1498462922,1,0
1498463521,1,2
1498464244,1,82
1498464722,3,0
1498465321,4,2
